spec_name,metric,operator,target,measured,required,pass,measurement_source_type,measurement_source_artifact,measurement_source_status
differential_gain_db,differential_gain_db,>=,20.0,28.16052107339466,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\verification\data\dc_curve.csv,PASS
ugb_hz,ugb_hz,>=,50000000.0,55136704.54654229,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\verification\data\ac_bode.csv,PASS
average_power_w,average_power_w,<=,0.0003,8.976630851975642e-06,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.raw,PASS
tail_current_a,tail_current_a,<=,0.00015,8.975978744274471e-06,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.raw,PASS
output_common_mode_min_v,output_common_mode_v,>=,0.35,0.4970555007457733,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.raw,PASS
output_common_mode_max_v,output_common_mode_v,<=,0.7,0.4970555007457733,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.raw,PASS
output_balance_error_v,output_balance_error_v,<=,0.02,0.0,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.raw,PASS
