device_name,source_name,role,device_type,model_name,W_m,L_m,m,gate_v,drain_v,source_v,bulk_v,VGS_v,VDS_v,VSB_v,VSG_v,VSD_v,VBS_v,ID_a,gm_s,gds_s,gm_id_vinv,gm_gds_vv,region,sat_margin_v,ft_hz,selected_lut_row_id,lut_source_file,tail_current_a,branch_current_a,bias_type,source_artifact,measurement_source_type,voltage_source_type,current_source_type,small_signal_source_type,calculated_source_type,lut_provenance_source_type,extraction_status,missing_reason
M_NINP,,input_pair,nmos,N_50n,1e-06,1.8000000000000002e-07,1.0,0.36000001430511475,0.4970555007457733,0.02359367534518242,0.0,0.336,0.473,0.0236,,,,4.49e-06,7.05e-05,2.06e-06,15.701559020044543,34.22330097087379,saturation,0.39659999999999995,3265542422.867918,10266,C:\Skynet_Setup\skynet_analog_agent\lut_characterizer\generated_lut\nmos_50nm_nominal_27C_full.npz,,,,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.log,RAW_OP,"NETLIST_REFERENCE,RAW_OP",RAW_OP,RAW_OP,CALCULATED_FROM_RAW_OP,LUT_SELECTED_ROW_PROVENANCE,EXTRACTED,
M_NINN,,input_pair,nmos,N_50n,1e-06,1.8000000000000002e-07,1.0,0.36000001430511475,0.4970555007457733,0.02359367534518242,0.0,0.336,0.473,0.0236,,,,4.49e-06,7.05e-05,2.06e-06,15.701559020044543,34.22330097087379,saturation,0.39659999999999995,3265542422.867918,10266,C:\Skynet_Setup\skynet_analog_agent\lut_characterizer\generated_lut\nmos_50nm_nominal_27C_full.npz,,,,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.log,RAW_OP,"NETLIST_REFERENCE,RAW_OP",RAW_OP,RAW_OP,CALCULATED_FROM_RAW_OP,LUT_SELECTED_ROW_PROVENANCE,EXTRACTED,
M_PLOADP,,pmos_active_load_pair,pmos,P_50n,9.544781332754442e-07,3.0000000000000004e-07,1.0,0.58,0.4970555007457733,1.0,1.0,-0.42,-0.503,-0.0,0.42,0.503,0.0,-4.49e-06,3.9e-05,6.97e-07,8.68596881959911,55.95408895265423,saturation,0.33399999999999996,721483106.7209167,14077,C:\Skynet_Setup\skynet_analog_agent\lut_characterizer\generated_lut\pmos_50nm_nominal_27C_full.npz,,,,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.log,RAW_OP,"NETLIST_RENDERED_BIAS,RAW_OP",RAW_OP,RAW_OP,CALCULATED_FROM_RAW_OP,LUT_SELECTED_ROW_PROVENANCE,EXTRACTED,
M_PLOADN,,pmos_active_load_pair,pmos,P_50n,9.544781332754442e-07,3.0000000000000004e-07,1.0,0.58,0.4970555007457733,1.0,1.0,-0.42,-0.503,-0.0,0.42,0.503,0.0,-4.49e-06,3.9e-05,6.97e-07,8.68596881959911,55.95408895265423,saturation,0.33399999999999996,721483106.7209167,14077,C:\Skynet_Setup\skynet_analog_agent\lut_characterizer\generated_lut\pmos_50nm_nominal_27C_full.npz,,,,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.log,RAW_OP,"NETLIST_RENDERED_BIAS,RAW_OP",RAW_OP,RAW_OP,CALCULATED_FROM_RAW_OP,LUT_SELECTED_ROW_PROVENANCE,EXTRACTED,
,ITAIL,ideal_tail_current_source,,,,,,,,,,,,,,,,,,,,,,,,,,8.975978744274471e-06,4.4879893721372355e-06,ideal_current_source,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_differential_pair\reports\stage13\runs\demo_differential_pair_op.raw,RAW_OP,,RAW_OP,,,,EXTRACTED,
